Sample,sobs,ace,chao,shannon,simpson
SCI_1m_4_Co,8017,8017,8017,3.20643,0.14274
SCI_1h_2_Co,6467,6467,6467,4.64822,0.03164
SCI_3m_2_Co,7983,7983,7983,4.0969,0.05592
SCI_1m_6_Il,4766,4766,4766,2.53391,0.2292
SCI_1d_2_Co,8968,8968,8968,4.67387,0.03017
SCI_1d_5_Co,7449,7449,7449,3.40818,0.1322
SCI_12h_2_Co,7242,7242,7242,4.71137,0.03
SCI_30min_3_Co,8745,8745,8745,3.9607,0.08978
SCI_1m_5_Ce,7049,7049,7049,4.30163,0.04901
SCI_6h_3_Ce,6214,6214,6214,4.72566,0.03483
SCI_2m_3_Ce,8174,8174,8174,4.99074,0.03135
SCI_1m_1_Co,7710,7710,7710,3.33906,0.12407
SCI_2m_5_Ce,9169,9169,9169,4.87207,0.03127
Con_1_Ce,8455,8455,8455,4.99976,0.02248
Con_3_Ce,8999,8999,8999,4.81626,0.02685
SCI_7d_6_Ce,6908,6908,6908,3.72919,0.1597
SCI_12h_6_Co,8069,8069,8069,3.93804,0.07552
SCI_12h_5_Ce,7929,7929,7929,4.88918,0.0258
SCI_2m_6_Il,4803,4803,4803,2.93518,0.13619
SCI_7d_1_Ce,6960,6960,6960,4.67608,0.0354
SCI_12h_4_Il,1413,1413,1413,1.71018,0.34339
SCI_0min_1_Il,6363,6363,6363,2.85374,0.20281
SCI_1h_3_Ce,7763,7763,7763,4.96862,0.02033
Con_6_Il,5769,5769,5769,2.13537,0.43905
Sham_3_Il,8110,8110,8110,3.6163,0.09708
SCI_12h_6_Ce,9113,9113,9113,4.88396,0.02795
SCI_12h_3_Co,8387,8387,8387,4.89546,0.02377
SCI_5d_5_Ce,6022,6022,6022,4.68574,0.03444
SCI_3d_5_Co,7927,7927,7927,4.95293,0.0247
SCI_0min_6_Ce,8873,8873,8873,5.03596,0.02038
SCI_14d_2_Ce,8983,8983,8983,5.01798,0.02299
Sham_4_Il,4934,4934,4934,2.59416,0.17275
SCI_0min_3_Il,4027,4027,4027,2.31038,0.2624
SCI_3d_3_Ce,8579,8579,8579,5.14532,0.0206
SCI_1h_5_Il,5202,5202,5202,2.63233,0.17579
SCI_0min_2_Il,4596,4596,4596,2.33661,0.19764
SCI_1m_5_Il,4978,4978,4978,3.4257,0.09879
SCI_0min_3_Co,8008,8008,8008,4.05031,0.07771
SCI_1d_4_Co,8453,8453,8453,4.53439,0.03912
SCI_7d_6_Co,7725,7725,7725,4.64853,0.02567
SCI_5d_3_Co,7575,7575,7575,3.83455,0.0992
SCI_30min_4_Co,7268,7268,7268,3.12296,0.22321
SCI_6h_4_Il,3822,3822,3822,2.18045,0.21114
SCI_5d_4_Il,2578,2578,2578,4.48791,0.04689
